Time (d), pH-MC1, Time (d), DO-MC1, Time (d), pH-MC2, Time (d), DO-MC2
   1.321377,  7.38,    1.321447,  7.15,    1.321539,  7.62,    1.321586,  7.65
   1.328322,  7.38,    1.328391,  7.13,    1.328484,  7.62,    1.328530,  7.64
   1.335266,  7.37,    1.335336,  7.12,    1.335428,  7.62,    1.335474,  7.64
   1.342211,  7.36,    1.342280,  7.11,    1.342373,  7.62,    1.342419,  7.64
   1.349155,  7.35,    1.349225,  7.09,    1.349317,  7.62,    1.349363,  7.63
   1.356099,  7.34,    1.356169,  7.08,    1.356262,  7.62,    1.356308,  7.63
   1.363044,  7.34,    1.363113,  7.07,    1.363206,  7.62,    1.363252,  7.62
   1.369988,  7.33,    1.370070,  7.05,    1.370150,  7.62,    1.370197,  7.62
   1.376933,  7.32,    1.377002,  7.05,    1.377095,  7.62,    1.377141,  7.61
   1.383877,  7.32,    1.383947,  7.03,    1.384039,  7.62,    1.384086,  7.60
   1.390822,  7.31,    1.390891,  7.03,    1.390984,  7.61,    1.391030,  7.60
   1.397766,  7.30,    1.397836,  7.01,    1.397928,  7.61,    1.397974,  7.59
   1.404711,  7.30,    1.404780,  7.00,    1.404873,  7.61,    1.404919,  7.58
   1.411655,  7.29,    1.411725,  7.00,    1.411817,  7.61,    1.411863,  7.57
   1.418599,  7.29,    1.418669,  6.99,    1.418762,  7.61,    1.418808,  7.57
   1.425544,  7.28,    1.425613,  6.98,    1.425706,  7.61,    1.425752,  7.56
   1.432488,  7.28,    1.432558,  6.97,    1.432650,  7.60,    1.432697,  7.55
   1.439433,  7.27,    1.439502,  6.96,    1.439595,  7.60,    1.439641,  7.54
   1.446377,  7.27,    1.446447,  6.94,    1.446539,  7.60,    1.446586,  7.54
   1.453322,  7.26,    1.453391,  6.94,    1.453484,  7.60,    1.453530,  7.53
   1.460266,  7.26,    1.460336,  6.93,    1.460428,  7.60,    1.460474,  7.52
   1.467211,  7.25,    1.467280,  6.93,    1.467373,  7.59,    1.467419,  7.50
   1.474155,  7.25,    1.474225,  6.92,    1.474317,  7.59,    1.474363,  7.49
   1.481099,  7.25,    1.481169,  6.91,    1.481262,  7.59,    1.481308,  7.48
   1.488044,  7.24,    1.488113,  6.91,    1.488206,  7.58,    1.488252,  7.47
   1.494988,  7.24,    1.495058,  6.91,    1.495150,  7.58,    1.495197,  7.46
   1.501933,  7.24,    1.502002,  6.91,    1.502095,  7.58,    1.502141,  7.45
   1.508877,  7.24,    1.508947,  6.91,    1.509039,  7.57,    1.509086,  7.43
   1.515822,  7.24,    1.515891,  6.91,    1.515984,  7.57,    1.516030,  7.42
   1.522766,  7.24,    1.522836,  6.92,    1.522928,  7.57,    1.522974,  7.41
   1.529711,  7.24,    1.529780,  6.92,    1.529873,  7.56,    1.529919,  7.39
   1.536655,  7.25,    1.536725,  6.94,    1.536817,  7.56,    1.536863,  7.39
   1.543599,  7.25,    1.543669,  6.96,    1.543762,  7.56,    1.543808,  7.38
   1.550544,  7.25,    1.550613,  6.97,    1.550706,  7.56,    1.550752,  7.38
   1.557488,  7.26,    1.557558,  6.98,    1.557650,  7.55,    1.557697,  7.37
   1.564433,  7.27,    1.564502,  7.00,    1.564595,  7.55,    1.564641,  7.35
   1.571377,  7.27,    1.571447,  7.02,    1.571539,  7.55,    1.571586,  7.34
   1.578322,  7.28,    1.578391,  7.04,    1.578484,  7.55,    1.578530,  7.33
   1.585266,  7.29,    1.585336,  7.06,    1.585428,  7.54,    1.585474,  7.31
   1.592211,  7.29,    1.592280,  7.07,    1.592373,  7.54,    1.592419,  7.30
   1.599155,  7.30,    1.599225,  7.09,    1.599317,  7.54,    1.599363,  7.29
   1.606099,  7.30,    1.606169,  7.10,    1.606262,  7.54,    1.606308,  7.26
   1.613044,  7.31,    1.613113,  7.11,    1.613206,  7.53,    1.613252,  7.25
   1.619988,  7.32,    1.620058,  7.13,    1.620150,  7.53,    1.620197,  7.23
   1.626933,  7.32,    1.627002,  7.15,    1.627095,  7.52,    1.627141,  7.21
   1.633877,  7.33,    1.633947,  7.13,    1.634039,  7.52,    1.634086,  7.20
   1.640822,  7.33,    1.640891,  7.14,    1.640984,  7.52,    1.641030,  7.18
   1.647766,  7.33,    1.647836,  7.15,    1.647928,  7.51,    1.647974,  7.17
   1.654711,  7.34,    1.654780,  7.15,    1.654873,  7.51,    1.654919,  7.15
   1.661655,  7.34,    1.661725,  7.15,    1.661817,  7.50,    1.661863,  7.14
   1.668599,  7.34,    1.668669,  7.13,    1.668762,  7.50,    1.668808,  7.12
   1.675544,  7.35,    1.675613,  7.15,    1.675706,  7.49,    1.675752,  7.11
   1.682488,  7.35,    1.682558,  7.15,    1.682650,  7.49,    1.682697,  7.10
   1.689433,  7.35,    1.689502,  7.15,    1.689595,  7.48,    1.689641,  7.09
   1.696377,  7.36,    1.696447,  7.14,    1.696539,  7.48,    1.696586,  7.07
   1.703322,  7.36,    1.703391,  7.14,    1.703484,  7.47,    1.703530,  7.07
   1.710266,  7.36,    1.710336,  7.14,    1.710428,  7.47,    1.710474,  7.06
   1.717211,  7.36,    1.717280,  7.14,    1.717373,  7.46,    1.717419,  7.05
   1.724155,  7.36,    1.724225,  7.14,    1.724317,  7.46,    1.724363,  7.05
   1.731099,  7.37,    1.731169,  7.14,    1.731262,  7.46,    1.731308,  7.05
   1.738044,  7.37,    1.738113,  7.14,    1.738206,  7.45,    1.738252,  7.04
   1.744988,  7.37,    1.745058,  7.15,    1.745150,  7.45,    1.745197,  7.04
   1.751933,  7.37,    1.752002,  7.15,    1.752095,  7.45,    1.752141,  7.04
   1.758877,  7.37,    1.758947,  7.16,    1.759039,  7.44,    1.759086,  7.05
   1.765822,  7.37,    1.765891,  7.17,    1.765984,  7.44,    1.766030,  7.04
   1.772766,  7.37,    1.772836,  7.20,    1.772928,  7.44,    1.772974,  7.06
   1.779711,  7.37,    1.779780,  7.19,    1.779873,  7.43,    1.779919,  7.04
   1.786655,  7.37,    1.786725,  7.20,    1.786817,  7.43,    1.786863,  7.04
   1.793599,  7.38,    1.793669,  7.22,    1.793762,  7.43,    1.793808,  7.04
   1.800544,  7.38,    1.800613,  7.24,    1.800706,  7.42,    1.800752,  7.02
   1.807488,  7.39,    1.807558,  7.25,    1.807650,  7.42,    1.807697,  7.01
   1.814433,  7.39,    1.814502,  7.25,    1.814595,  7.41,    1.814641,  7.01
   1.821377,  7.39,    1.821447,  7.28,    1.821539,  7.41,    1.821586,  6.99
   1.828322,  7.40,    1.828391,  7.29,    1.828484,  7.40,    1.828530,  6.99
   1.835266,  7.40,    1.835336,  7.29,    1.835428,  7.40,    1.835474,  6.98
   1.842211,  7.41,    1.842280,  7.30,    1.842373,  7.39,    1.842419,  6.96
   1.849155,  7.41,    1.849225,  7.30,    1.849317,  7.39,    1.849363,  6.96
   1.856099,  7.41,    1.856169,  7.31,    1.856262,  7.38,    1.856308,  6.95
   1.863044,  7.42,    1.863113,  7.32,    1.863206,  7.37,    1.863252,  6.93
   1.869988,  7.42,    1.870058,  7.27,    1.870150,  7.37,    1.870197,  6.93
   1.876933,  7.42,    1.877002,  7.29,    1.877095,  7.36,    1.877141,  6.93
   1.883877,  7.43,    1.883947,  7.32,    1.884039,  7.36,    1.884086,  6.91
   1.890822,  7.43,    1.890891,  7.33,    1.890984,  7.35,    1.891030,  6.90
   1.897766,  7.43,    1.897836,  7.32,    1.897928,  7.35,    1.897974,  6.90
   1.904711,  7.43,    1.904780,  7.33,    1.904873,  7.34,    1.904919,  6.88
   1.911655,  7.44,    1.911725,  7.34,    1.911817,  7.33,    1.911863,  6.88
   1.918599,  7.44,    1.918669,  7.35,    1.918762,  7.33,    1.918808,  6.88
   1.925544,  7.44,    1.925613,  7.33,    1.925706,  7.32,    1.925752,  6.86
   1.932488,  7.44,    1.932558,  7.33,    1.932650,  7.32,    1.932697,  6.86
   1.939433,  7.45,    1.939502,  7.34,    1.939595,  7.31,    1.939641,  6.86
   1.946377,  7.45,    1.946447,  7.34,    1.946539,  7.31,    1.946586,  6.85
   1.953322,  7.45,    1.953391,  7.33,    1.953484,  7.30,    1.953530,  6.86
   1.960266,  7.45,    1.960336,  7.33,    1.960428,  7.30,    1.960474,  6.85
   1.967211,  7.45,    1.967280,  7.34,    1.967373,  7.29,    1.967419,  6.84
   1.974155,  7.46,    1.974225,  7.34,    1.974317,  7.29,    1.974363,  6.84
   1.981099,  7.46,    1.981169,  7.34,    1.981262,  7.28,    1.981308,  6.85
   1.988044,  7.46,    1.988113,  7.33,    1.988206,  7.28,    1.988252,  6.84
   1.994988,  7.46,    1.995058,  7.33,    1.995150,  7.27,    1.995197,  6.85
   2.001933,  7.46,    2.002002,  7.34,    2.002095,  7.27,    2.002141,  6.86
   2.008877,  7.46,    2.008947,  7.34,    2.009039,  7.27,    2.009086,  6.86
   2.015822,  7.46,    2.015891,  7.33,    2.015984,  7.27,    2.016030,  6.87
   2.022766,  7.47,    2.022836,  7.30,    2.022928,  7.27,    2.022974,  6.89
   2.029711,  7.47,    2.029780,  7.33,    2.029873,  7.26,    2.029919,  6.89
   2.036655,  7.47,    2.036725,  7.34,    2.036817,  7.26,    2.036863,  6.90
   2.043600,  7.47,    2.043669,  7.29,    2.043761,  7.26,    2.043808,  6.93
   2.050544,  7.47,    2.050613,  7.33,    2.050706,  7.26,    2.050752,  6.94
   2.057488,  7.47,    2.057558,  7.34,    2.057651,  7.26,    2.057697,  6.96
   2.064433,  7.48,    2.064502,  7.35,    2.064595,  7.26,    2.064641,  6.99
   2.071377,  7.47,    2.071447,  7.34,    2.071539,  7.26,    2.071586,  7.00
   2.078322,  7.48,    2.078391,  7.34,    2.078484,  7.26,    2.078530,  7.02
   2.085266,  7.48,    2.085336,  7.34,    2.085428,  7.26,    2.085474,  7.05
   2.092211,  7.48,    2.092280,  7.34,    2.092373,  7.27,    2.092419,  7.07
   2.099155,  7.48,    2.099225,  7.34,    2.099317,  7.27,    2.099363,  7.09
   2.106100,  7.48,    2.106169,  7.35,    2.106261,  7.27,    2.106308,  7.13
   2.113044,  7.48,    2.113113,  7.34,    2.113206,  7.28,    2.113252,  7.17
   2.119988,  7.48,    2.120058,  7.35,    2.120151,  7.28,    2.120197,  7.19
   2.126933,  7.48,    2.127002,  7.33,    2.127095,  7.29,    2.127141,  7.22
   2.133877,  7.48,    2.133947,  7.32,    2.134039,  7.30,    2.134086,  7.25
   2.140822,  7.48,    2.140891,  7.33,    2.140984,  7.30,    2.141030,  7.25
   2.147766,  7.49,    2.147836,  7.34,    2.147928,  7.30,    2.147974,  7.28
   2.154711,  7.49,    2.154780,  7.33,    2.154873,  7.31,    2.154919,  7.30
   2.161655,  7.48,    2.161725,  7.32,    2.161817,  7.31,    2.161863,  7.30
   2.168600,  7.49,    2.168669,  7.33,    2.168761,  7.32,    2.168808,  7.31
   2.175544,  7.49,    2.175613,  7.33,    2.175706,  7.32,    2.175752,  7.33
   2.182488,  7.49,    2.182558,  7.33,    2.182651,  7.32,    2.182697,  7.33
   2.189433,  7.49,    2.189502,  7.31,    2.189595,  7.33,    2.189641,  7.33
   2.196377,  7.49,    2.196447,  7.31,    2.196539,  7.33,    2.196586,  7.36
   2.203322,  7.49,    2.203391,  7.33,    2.203484,  7.33,    2.203530,  7.34
   2.210266,  7.49,    2.210336,  7.32,    2.210428,  7.34,    2.210474,  7.36
   2.217211,  7.49,    2.217280,  7.32,    2.217373,  7.34,    2.217419,  7.37
   2.224155,  7.49,    2.224225,  7.32,    2.224317,  7.34,    2.224363,  7.36
   2.231100,  7.49,    2.231169,  7.32,    2.231261,  7.35,    2.231308,  7.37
   2.238044,  7.49,    2.238113,  7.33,    2.238206,  7.35,    2.238252,  7.38
   2.244988,  7.49,    2.245058,  7.32,    2.245151,  7.35,    2.245197,  7.37
   2.251933,  7.49,    2.252002,  7.32,    2.252095,  7.35,    2.252141,  7.37
   2.258877,  7.49,    2.258947,  7.33,    2.259039,  7.36,    2.259086,  7.38
   2.265822,  7.50,    2.265891,  7.33,    2.265984,  7.36,    2.266030,  7.37
   2.272766,  7.49,    2.272836,  7.31,    2.272928,  7.36,    2.272974,  7.38
   2.279711,  7.49,    2.279780,  7.32,    2.279873,  7.36,    2.279919,  7.38
   2.286655,  7.49,    2.286725,  7.32,    2.286817,  7.37,    2.286863,  7.40
   2.293600,  7.49,    2.293669,  7.33,    2.293761,  7.37,    2.293808,  7.37
   2.300544,  7.49,    2.300613,  7.30,    2.300706,  7.37,    2.300752,  7.38
   2.307488,  7.49,    2.307558,  7.31,    2.307651,  7.38,    2.307697,  7.39
   2.314433,  7.49,    2.314502,  7.31,    2.314595,  7.37,    2.314641,  7.37
   2.321377,  7.49,    2.321447,  7.32,    2.321539,  7.38,    2.321586,  7.37
   2.328322,  7.49,    2.328391,  7.31,    2.328484,  7.38,    2.328530,  7.38
   2.335266,  7.49,    2.335336,  7.30,    2.335428,  7.38,    2.335474,  7.37
   2.342211,  7.49,    2.342280,  7.31,    2.342373,  7.38,    2.342419,  7.36
   2.349155,  7.49,    2.349225,  7.31,    2.349317,  7.38,    2.349363,  7.38
   2.356100,  7.49,    2.356169,  7.30,    2.356261,  7.38,    2.356308,  7.36
   2.363044,  7.49,    2.363113,  7.30,    2.363206,  7.38,    2.363252,  7.36
   2.369988,  7.49,    2.370058,  7.30,    2.370151,  7.39,    2.370197,  7.37
   2.376933,  7.49,    2.377002,  7.31,    2.377095,  7.39,    2.377141,  7.36
   2.383877,  7.49,    2.383947,  7.30,    2.384039,  7.39,    2.384086,  7.36
   2.390822,  7.49,    2.390891,  7.30,    2.390984,  7.39,    2.391030,  7.37
   2.397766,  7.49,    2.397836,  7.31,    2.397928,  7.39,    2.397974,  7.36
   2.404711,  7.49,    2.404780,  7.31,    2.404873,  7.39,    2.404919,  7.36
   2.411655,  7.49,    2.411725,  7.31,    2.411817,  7.39,    2.411863,  7.36
   2.418600,  7.49,    2.418669,  7.30,    2.418761,  7.40,    2.418808,  7.35
   2.425544,  7.49,    2.425613,  7.26,    2.425706,  7.39,    2.425752,  7.37
