Time (d), pH-MC1, Time (d), DO-MC1, Time (d), pH-MC2, Time (d), DO-MC2
   5.481100,  7.27,    5.363113,  7.41,    5.481262,  7.29,    5.481308,  7.59
   5.488044,  7.27,    5.370058,  7.42,    5.488206,  7.29,    5.488252,  7.60
   5.494988,  7.27,    5.377002,  7.41,    5.495151,  7.29,    5.495197,  7.60
   5.501933,  7.27,    5.383947,  7.41,    5.502095,  7.28,    5.502141,  7.60
   5.508877,  7.27,    5.390891,  7.42,    5.509039,  7.29,    5.509086,  7.60
   5.515822,  7.27,    5.397836,  7.42,    5.515984,  7.29,    5.516030,  7.60
   5.522766,  7.27,    5.404780,  7.41,    5.522928,  7.28,    5.522974,  7.60
   5.529711,  7.27,    5.411725,  7.40,    5.529873,  7.28,    5.529919,  7.59
   5.536655,  7.27,    5.418669,  7.42,    5.536817,  7.29,    5.536863,  7.60
   5.543600,  7.27,    5.425613,  7.42,    5.543762,  7.28,    5.543808,  7.58
   5.550544,  7.27,    5.432558,  7.41,    5.550706,  7.28,    5.550752,  7.60
   5.557488,  7.27,    5.439502,  7.41,    5.557651,  7.29,    5.557697,  7.61
   5.564433,  7.27,    5.446447,  7.42,    5.564595,  7.28,    5.564641,  7.59
   5.571377,  7.27,    5.453391,  7.41,    5.571539,  7.28,    5.571586,  7.59
   5.578322,  7.27,    5.460336,  7.41,    5.578484,  7.28,    5.578530,  7.60
   5.585266,  7.27,    5.467280,  7.41,    5.585428,  7.28,    5.585474,  7.59
   5.592211,  7.27,    5.474225,  7.41,    5.592373,  7.28,    5.592419,  7.60
   5.599155,  7.27,    5.481169,  7.41,    5.599317,  7.28,    5.599363,  7.60
   5.606100,  7.27,    5.488113,  7.41,    5.606262,  7.28,    5.606308,  7.60
   5.613044,  7.27,    5.495058,  7.41,    5.613206,  7.28,    5.613252,  7.59
   5.619988,  7.27,    5.502002,  7.42,    5.620151,  7.28,    5.620197,  7.60
   5.626933,  7.27,    5.508947,  7.41,    5.627095,  7.28,    5.627141,  7.60
   5.633877,  7.27,    5.515891,  7.41,    5.634039,  7.28,    5.634086,  7.59
   5.640822,  7.27,    5.522836,  7.39,    5.640984,  7.28,    5.641030,  7.60
   5.647766,  7.27,    5.529780,  7.37,    5.647928,  7.28,    5.647974,  7.60
   5.654711,  7.27,    5.536725,  7.40,    5.654873,  7.28,    5.654919,  7.59
   5.661655,  7.27,    5.543669,  7.37,    5.661817,  7.28,    5.661863,  7.59
   5.668600,  7.27,    5.550613,  7.43,    5.668762,  7.28,    5.668808,  7.60
   5.675544,  7.27,    5.557558,  7.41,    5.675706,  7.28,    5.675752,  7.59
   5.682488,  7.27,    5.564502,  7.42,    5.682651,  7.28,    5.682697,  7.59
   5.689433,  7.27,    5.571447,  7.42,    5.689595,  7.28,    5.689641,  7.60
   5.696377,  7.27,    5.578391,  7.41,    5.696539,  7.28,    5.696586,  7.60
   5.703322,  7.27,    5.585336,  7.40,    5.703484,  7.28,    5.703530,  7.60
   5.710266,  7.27,    5.592280,  7.41,    5.710428,  7.28,    5.710474,  7.60
   5.717211,  7.27,    5.599225,  7.41,    5.717373,  7.28,    5.717419,  7.59
   5.724155,  7.27,    5.606169,  7.40,    5.724317,  7.28,    5.724363,  7.60
   5.731100,  7.27,    5.613113,  7.40,    5.731262,  7.28,    5.731308,  7.60
   5.738044,  7.27,    5.620058,  7.41,    5.738206,  7.28,    5.738252,  7.60
   5.744988,  7.27,    5.627002,  7.41,    5.745151,  7.28,    5.745197,  7.60
   5.751933,  7.27,    5.633947,  7.40,    5.752095,  7.28,    5.752141,  7.60
   5.758877,  7.27,    5.640891,  7.40,    5.759039,  7.28,    5.759086,  7.61
   5.765822,  7.27,    5.647836,  7.40,    5.765984,  7.28,    5.766030,  7.60
   5.772766,  7.27,    5.654780,  7.39,    5.772928,  7.28,    5.772974,  7.60
   5.779711,  7.27,    5.661725,  7.39,    5.779873,  7.28,    5.779919,  7.61
   5.786655,  7.27,    5.668669,  7.40,    5.786817,  7.28,    5.786863,  7.60
   5.793600,  7.27,    5.675613,  7.40,    5.793762,  7.28,    5.793808,  7.61
   5.800544,  7.27,    5.682558,  7.40,    5.800706,  7.28,    5.800752,  7.61
   5.807488,  7.27,    5.689502,  7.39,    5.807651,  7.28,    5.807697,  7.61
   5.814433,  7.27,    5.696447,  7.40,    5.814595,  7.28,    5.814641,  7.61
   5.821377,  7.27,    5.703391,  7.40,    5.821539,  7.28,    5.821586,  7.61
   5.828322,  7.27,    5.710336,  7.41,    5.828484,  7.28,    5.828530,  7.61
   5.835266,  7.27,    5.717280,  7.41,    5.835428,  7.28,    5.835474,  7.61
   5.842211,  7.27,    5.724225,  7.40,    5.842373,  7.28,    5.842419,  7.62
   5.849155,  7.27,    5.731169,  7.41,    5.849317,  7.28,    5.849363,  7.62
   5.856100,  7.27,    5.738113,  7.41,    5.856262,  7.28,    5.856308,  7.61
   5.863044,  7.27,    5.745058,  7.42,    5.863206,  7.28,    5.863252,  7.62
   5.869988,  7.27,    5.752002,  7.41,    5.870151,  7.28,    5.870197,  7.62
   5.876933,  7.27,    5.758947,  7.42,    5.877095,  7.28,    5.877141,  7.62
   5.883877,  7.27,    5.765891,  7.43,    5.884039,  7.28,    5.884086,  7.62
   5.890822,  7.27,    5.772836,  7.44,    5.890984,  7.28,    5.891030,  7.62
   5.897766,  7.27,    5.779780,  7.43,    5.897928,  7.28,    5.897974,  7.61
   5.904711,  7.27,    5.786725,  7.44,    5.904873,  7.28,    5.904919,  7.62
   5.911655,  7.27,    5.793669,  7.44,    5.911817,  7.28,    5.911863,  7.62
   5.918600,  7.28,    5.800613,  7.45,    5.918762,  7.28,    5.918808,  7.61
   5.925544,  7.28,    5.807558,  7.44,    5.925706,  7.28,    5.925752,  7.61
   5.932488,  7.28,    5.814502,  7.43,    5.932651,  7.28,    5.932697,  7.62
   5.939433,  7.28,    5.821447,  7.42,    5.939595,  7.28,    5.939641,  7.62
   5.946377,  7.28,    5.828391,  7.42,    5.946539,  7.28,    5.946586,  7.61
   5.953322,  7.28,    5.835336,  7.42,    5.953484,  7.28,    5.953542,  7.61
   5.960266,  7.28,    5.842280,  7.42,    5.960428,  7.28,    5.960474,  7.62
   5.967211,  7.28,    5.849225,  7.42,    5.967373,  7.28,    5.967419,  7.61
   5.974155,  7.28,    5.856169,  7.42,    5.974317,  7.28,    5.974363,  7.61
   5.981100,  7.28,    5.863113,  7.43,    5.981262,  7.28,    5.981308,  7.62
   5.988044,  7.28,    5.870058,  7.42,    5.988206,  7.28,    5.988252,  7.61
   5.994988,  7.28,    5.877002,  7.42,    5.995151,  7.28,    5.995197,  7.61
   6.001933,  7.28,    5.883947,  7.42,    6.002095,  7.28,    6.002141,  7.62
   6.008877,  7.28,    5.890891,  7.44,    6.009039,  7.28,    6.009086,  7.61
   6.015822,  7.28,    5.897836,  7.43,    6.015984,  7.28,    6.016030,  7.61
   6.022766,  7.28,    5.904780,  7.42,    6.022928,  7.28,    6.022974,  7.62
   6.029711,  7.28,    5.911725,  7.42,    6.029873,  7.28,    6.029919,  7.62
   6.036655,  7.28,    5.918669,  7.42,    6.036817,  7.28,    6.036863,  7.61
   6.043600,  7.28,    5.925613,  7.42,    6.043762,  7.28,    6.043808,  7.61
   6.050544,  7.28,    5.932558,  7.42,    6.050706,  7.28,    6.050752,  7.63
   6.057488,  7.28,    5.939502,  7.43,    6.057651,  7.28,    6.057697,  7.61
   6.064433,  7.28,    5.946447,  7.41,    6.064595,  7.28,    6.064641,  7.61
   6.071377,  7.28,    5.953391,  7.41,    6.071539,  7.28,    6.071586,  7.61
   6.078322,  7.28,    5.960336,  7.42,    6.078484,  7.28,    6.078530,  7.60
   6.085266,  7.28,    5.967280,  7.42,    6.085428,  7.28,    6.085474,  7.61
   6.092211,  7.28,    5.974225,  7.42,    6.092373,  7.28,    6.092419,  7.61
   6.099155,  7.28,    5.981169,  7.42,    6.099317,  7.28,    6.099363,  7.61
   6.106100,  7.28,    5.988113,  7.41,    6.106262,  7.28,    6.106308,  7.61
   6.113044,  7.28,    5.995058,  7.38,    6.113206,  7.28,    6.113252,  7.62
   6.119988,  7.28,    6.002002,  7.41,    6.120151,  7.28,    6.120197,  7.61
   6.126933,  7.28,    6.008947,  7.42,    6.127095,  7.28,    6.127141,  7.61
   6.133877,  7.28,    6.015891,  7.42,    6.134039,  7.28,    6.134086,  7.62
   6.140822,  7.28,    6.022836,  7.39,    6.140984,  7.28,    6.141030,  7.61
   6.147766,  7.28,    6.029780,  7.42,    6.147928,  7.28,    6.147974,  7.60
   6.154711,  7.28,    6.036725,  7.43,    6.154873,  7.28,    6.154919,  7.61
   6.161655,  7.28,    6.043669,  7.37,    6.161817,  7.28,    6.161863,  7.61
   6.168600,  7.28,    6.050613,  7.43,    6.168762,  7.28,    6.168808,  7.61
   6.175544,  7.28,    6.057558,  7.39,    6.175706,  7.28,    6.175752,  7.62
   6.182488,  7.28,    6.064502,  7.36,    6.182651,  7.28,    6.182697,  7.61
   6.189433,  7.28,    6.071447,  7.41,    6.189595,  7.28,    6.189641,  7.61
   6.196377,  7.28,    6.078391,  7.42,    6.196539,  7.28,    6.196586,  7.61
   6.203322,  7.28,    6.085336,  7.42,    6.203484,  7.28,    6.203530,  7.60
   6.210266,  7.28,    6.092280,  7.38,    6.210428,  7.28,    6.210474,  7.61
   6.217211,  7.28,    6.099225,  7.40,    6.217373,  7.28,    6.217419,  7.60
   6.224155,  7.28,    6.106169,  7.35,    6.224317,  7.28,    6.224363,  7.61
   6.231100,  7.28,    6.113113,  7.42,    6.231262,  7.28,    6.231308,  7.61
   6.238044,  7.28,    6.120058,  7.43,    6.238206,  7.28,    6.238252,  7.60
   6.244988,  7.28,    6.127002,  7.42,    6.245151,  7.28,    6.245197,  7.60
   6.251933,  7.28,    6.133947,  7.39,    6.252095,  7.28,    6.252141,  7.60
   6.258877,  7.28,    6.140891,  7.38,    6.259039,  7.28,    6.259086,  7.60
   6.265822,  7.28,    6.147836,  7.40,    6.265984,  7.28,    6.266030,  7.60
   6.272766,  7.28,    6.154780,  7.42,    6.272928,  7.28,    6.272974,  7.61
   6.279711,  7.28,    6.161725,  7.39,    6.279873,  7.28,    6.279919,  7.60
   6.286655,  7.28,    6.168669,  7.41,    6.286817,  7.28,    6.286863,  7.60
   6.293600,  7.28,    6.175613,  7.41,    6.293762,  7.28,    6.293808,  7.61
   6.300544,  7.28,    6.182558,  7.38,    6.300706,  7.28,    6.300752,  7.60
   6.307488,  7.28,    6.189502,  7.42,    6.307651,  7.28,    6.307697,  7.59
   6.314433,  7.28,    6.196447,  7.42,    6.314595,  7.28,    6.314641,  7.60
   6.321377,  7.28,    6.203391,  7.37,    6.321539,  7.28,    6.321586,  7.60
   6.328322,  7.28,    6.210336,  7.42,    6.328484,  7.28,    6.328530,  7.60
   6.335266,  7.28,    6.217280,  7.40,    6.335428,  7.28,    6.335474,  7.60
   6.342211,  7.28,    6.224225,  7.39,    6.342373,  7.28,    6.342419,  7.60
   6.349155,  7.28,    6.231169,  7.42,    6.349317,  7.27,    6.349363,  7.60
   6.356100,  7.28,    6.238113,  7.36,    6.356262,  7.28,    6.356308,  7.60
   6.363044,  7.28,    6.245058,  7.42,    6.363206,  7.28,    6.363252,  7.60
   6.369988,  7.28,    6.252002,  7.41,    6.370151,  7.28,    6.370197,  7.59
   6.376933,  7.28,    6.258947,  7.41,    6.377095,  7.27,    6.377141,  7.59
   6.383877,  7.28,    6.265891,  7.42,    6.384039,  7.27,    6.384086,  7.60
   6.390822,  7.28,    6.272836,  7.41,    6.390984,  7.27,    6.391030,  7.59
   6.397766,  7.28,    6.279780,  7.42,    6.397928,  7.27,    6.397974,  7.59
   6.404711,  7.28,    6.286725,  7.41,    6.404873,  7.27,    6.404919,  7.59
   6.411655,  7.28,    6.293669,  7.42,    6.411817,  7.27,    6.411863,  7.59
   6.418600,  7.28,    6.300613,  7.36,    6.418762,  7.27,    6.418808,  7.59
   6.425544,  7.28,    6.307558,  7.41,    6.425706,  7.27,    6.425752,  7.59
   6.432488,  7.28,    6.314502,  7.42,    6.432651,  7.27,    6.432697,  7.59
   6.439433,  7.28,    6.321447,  7.39,    6.439595,  7.27,    6.439641,  7.58
   6.446377,  7.28,    6.328391,  7.39,    6.446539,  7.27,    6.446586,  7.59
   6.453322,  7.28,    6.335336,  7.37,    6.453484,  7.27,    6.453530,  7.59
   6.460266,  7.28,    6.342280,  7.41,    6.460428,  7.27,    6.460474,  7.58
   6.467211,  7.28,    6.349225,  7.41,    6.467373,  7.27,    6.467419,  7.58
   6.474155,  7.28,    6.356169,  7.43,    6.474317,  7.27,    6.474363,  7.58
   6.481100,  7.28,    6.363113,  7.41,    6.481262,  7.27,    6.481308,  7.58
   6.488044,  7.28,    6.370058,  7.41,    6.488206,  7.27,    6.488252,  7.58
   6.494988,  7.28,    6.377002,  7.42,    6.495151,  7.27,    6.495197,  7.58
   6.501933,  7.29,    6.383947,  7.42,    6.502095,  7.27,    6.502141,  7.58
   6.508877,  7.28,    6.390891,  7.40,    6.509039,  7.27,    6.509086,  7.58
   6.515822,  7.28,    6.397836,  7.41,    6.515984,  7.27,    6.516030,  7.58
   6.522766,  7.28,    6.404780,  7.41,    6.522928,  7.27,    6.522974,  7.58
   6.529711,  7.29,    6.411725,  7.42,    6.529873,  7.27,    6.529919,  7.57
   6.536655,  7.29,    6.418669,  7.41,    6.536817,  7.27,    6.536863,  7.58
   6.543600,  7.29,    6.425613,  7.40,    6.543762,  7.27,    6.543808,  7.57
   6.550544,  7.29,    6.432558,  7.41,    6.550706,  7.27,    6.550752,  7.56
   6.557488,  7.29,    6.439502,  7.42,    6.557651,  7.27,    6.557697,  7.55
   6.564433,  7.29,    6.446447,  7.41,    6.564595,  7.27,    6.564641,  7.56
   6.571377,  7.29,    6.453391,  7.41,    6.571539,  7.27,    6.571586,  7.56
   6.578322,  7.29,    6.460336,  7.41,    6.578484,  7.27,    6.578542,  7.55
   6.585266,  7.29,    6.467280,  7.41,    6.585428,  7.27,    6.585474,  7.56
   6.592211,  7.29,    6.474225,  7.42,    6.592373,  7.27,    6.592419,  7.55
   6.599155,  7.29,    6.481169,  7.40,    6.599317,  7.27,    6.599363,  7.55
   6.606100,  7.29,    6.488113,  7.41,    6.606262,  7.27,    6.606308,  7.55
   6.613044,  7.29,    6.495058,  7.41,    6.613206,  7.27,    6.613252,  7.55
   6.619988,  7.29,    6.502002,  7.40,    6.620151,  7.27,    6.620197,  7.55
   6.626933,  7.29,    6.508947,  7.40,    6.627095,  7.27,    6.627141,  7.55
   6.633877,  7.29,    6.515891,  7.40,    6.634039,  7.27,    6.634086,  7.55
   6.640822,  7.29,    6.522836,  7.40,    6.640984,  7.27,    6.641030,  7.54
   6.647766,  7.29,    6.529780,  7.40,    6.647928,  7.27,    6.647974,  7.55
   6.654711,  7.29,    6.536725,  7.40,    6.654873,  7.27,    6.654919,  7.55
   6.661655,  7.29,    6.543669,  7.39,    6.661817,  7.27,    6.661863,  7.54
   6.668600,  7.29,    6.550613,  7.39,    6.668762,  7.27,    6.668808,  7.54
   6.675544,  7.29,    6.557558,  7.39,    6.675706,  7.27,    6.675752,  7.54
   6.682488,  7.29,    6.564502,  7.35,    6.682651,  7.27,    6.682697,  7.54
   6.689433,  7.29,    6.571447,  7.36,    6.689595,  7.27,    6.689641,  7.54
   6.696377,  7.29,    6.578391,  7.39,    6.696539,  7.27,    6.696586,  7.54
   6.703322,  7.29,    6.585336,  7.38,    6.703484,  7.27,    6.703530,  7.54
   6.710266,  7.29,    6.592280,  7.34,    6.710428,  7.27,    6.710474,  7.53
   6.717211,  7.29,    6.599225,  7.36,    6.717373,  7.27,    6.717419,  7.53
   6.724155,  7.29,    6.606169,  7.37,    6.724317,  7.27,    6.724363,  7.54
   6.731100,  7.29,    6.613113,  7.38,    6.731262,  7.27,    6.731308,  7.54
   6.738044,  7.29,    6.620058,  7.38,    6.738206,  7.27,    6.738252,  7.53
   6.744988,  7.29,    6.627002,  7.37,    6.745151,  7.27,    6.745197,  7.53
   6.751933,  7.29,    6.633947,  7.37,    6.752095,  7.27,    6.752141,  7.53
   6.758877,  7.29,    6.640891,  7.38,    6.759039,  7.27,    6.759086,  7.53
   6.765822,  7.29,    6.647836,  7.38,    6.765984,  7.27,    6.766030,  7.53
   6.772766,  7.29,    6.654780,  7.37,    6.772928,  7.27,    6.772974,  7.53
   6.779711,  7.29,    6.661725,  7.37,    6.779873,  7.27,    6.779919,  7.52
   6.786655,  7.29,    6.668669,  7.37,    6.786817,  7.27,    6.786863,  7.53
   6.793600,  7.29,    6.675613,  7.37,    6.793762,  7.27,    6.793808,  7.53
   6.800544,  7.29,    6.682558,  7.37,    6.800706,  7.27,    6.800752,  7.52
   6.807488,  7.29,    6.689502,  7.36,    6.807651,  7.27,    6.807697,  7.52
   6.814433,  7.29,    6.696447,  7.36,    6.814595,  7.27,    6.814641,  7.52
   6.821377,  7.29,    6.703391,  7.37,    6.821539,  7.27,    6.821586,  7.52
   6.828322,  7.29,    6.710336,  7.37,    6.828484,  7.27,    6.828530,  7.51
   6.835266,  7.29,    6.717280,  7.36,    6.835428,  7.27,    6.835474,  7.50
   6.842211,  7.30,    6.724225,  7.37,    6.842373,  7.27,    6.842419,  7.49
   6.849155,  7.30,    6.731169,  7.37,    6.849317,  7.27,    6.849363,  7.50
   6.856100,  7.30,    6.738113,  7.36,    6.856262,  7.27,    6.856308,  7.50
   6.863044,  7.30,    6.745058,  7.34,    6.863206,  7.28,    6.863252,  7.50
   6.869988,  7.30,    6.752002,  7.37,    6.870151,  7.28,    6.870197,  7.50
   6.876933,  7.30,    6.758947,  7.36,    6.877095,  7.28,    6.877141,  7.51
   6.883877,  7.30,    6.765891,  7.36,    6.884039,  7.28,    6.884086,  7.49
   6.890822,  7.30,    6.772836,  7.33,    6.890984,  7.28,    6.891030,  7.50
   6.897766,  7.30,    6.779780,  7.32,    6.897928,  7.28,    6.897974,  7.50
   6.904711,  7.30,    6.786736,  7.33,    6.904873,  7.28,    6.904919,  7.50
   6.911655,  7.30,    6.793669,  7.31,    6.911817,  7.28,    6.911863,  7.49
   6.918600,  7.30,    6.800613,  7.33,    6.918762,  7.28,    6.918808,  7.49
   6.925544,  7.30,    6.807558,  7.32,    6.925706,  7.28,    6.925752,  7.50
   6.932488,  7.30,    6.814502,  7.35,    6.932651,  7.28,    6.932697,  7.49
   6.939433,  7.30,    6.821447,  7.34,    6.939595,  7.28,    6.939641,  7.49
   6.946377,  7.30,    6.828391,  7.33,    6.946539,  7.28,    6.946586,  7.49
   6.953322,  7.30,    6.835336,  7.33,    6.953484,  7.28,    6.953530,  7.49
   6.960266,  7.30,    6.842280,  7.34,    6.960428,  7.28,    6.960474,  7.48
   6.967211,  7.30,    6.849225,  7.33,    6.967373,  7.28,    6.967419,  7.49
   6.974155,  7.30,    6.856169,  7.33,    6.974317,  7.28,    6.974363,  7.48
   6.981100,  7.30,    6.863113,  7.33,    6.981262,  7.28,    6.981308,  7.48
   6.988044,  7.30,    6.870058,  7.34,    6.988206,  7.28,    6.988252,  7.48
   6.994988,  7.30,    6.877002,  7.34,    6.995151,  7.28,    6.995197,  7.47
   7.001933,  7.30,    6.883947,  7.32,    7.002095,  7.28,    7.002141,  7.48
   7.008877,  7.30,    6.890891,  7.32,    7.009039,  7.28,    7.009086,  7.48
   7.015822,  7.30,    6.897836,  7.33,    7.015984,  7.28,    7.016030,  7.48
   7.022766,  7.30,    6.904780,  7.33,    7.022928,  7.28,    7.022974,  7.47
   7.029711,  7.30,    6.911725,  7.33,    7.029873,  7.28,    7.029919,  7.48
   7.036655,  7.30,    6.918669,  7.32,    7.036817,  7.28,    7.036863,  7.48
   7.043600,  7.30,    6.925613,  7.32,    7.043762,  7.28,    7.043808,  7.47
   7.050544,  7.30,    6.932558,  7.33,    7.050706,  7.28,    7.050752,  7.48
   7.057488,  7.30,    6.939502,  7.33,    7.057651,  7.28,    7.057697,  7.47
   7.064433,  7.30,    6.946447,  7.32,    7.064595,  7.28,    7.064641,  7.47
   7.071377,  7.30,    6.953391,  7.32,    7.071539,  7.28,    7.071586,  7.47
   7.078322,  7.30,    6.960336,  7.31,    7.078484,  7.28,    7.078530,  7.46
   7.085266,  7.30,    6.967280,  7.32,    7.085428,  7.28,    7.085474,  7.47
   7.092211,  7.30,    6.974225,  7.31,    7.092373,  7.28,    7.092419,  7.46
   7.099155,  7.30,    6.981169,  7.31,    7.099317,  7.28,    7.099363,  7.46
   7.106100,  7.30,    6.988113,  7.31,    7.106262,  7.28,    7.106308,  7.46
   7.113044,  7.30,    6.995058,  7.32,    7.113206,  7.28,    7.113252,  7.46
   7.119988,  7.30,    7.002002,  7.31,    7.120151,  7.28,    7.120197,  7.47
   7.126933,  7.30,    7.008947,  7.31,    7.127095,  7.28,    7.127141,  7.47
   7.133877,  7.30,    7.015891,  7.31,    7.134039,  7.28,    7.134086,  7.46
   7.140822,  7.30,    7.022836,  7.31,    7.140984,  7.28,    7.141030,  7.46
   7.147766,  7.30,    7.029780,  7.30,    7.147928,  7.28,    7.147974,  7.46
   7.154711,  7.30,    7.036725,  7.31,    7.154873,  7.28,    7.154919,  7.46
   7.161655,  7.30,    7.043669,  7.30,    7.161817,  7.28,    7.161863,  7.46
   7.168600,  7.30,    7.050613,  7.31,    7.168762,  7.28,    7.168808,  7.46
   7.175544,  7.30,    7.057558,  7.30,    7.175706,  7.28,    7.175752,  7.45
   7.182488,  7.30,    7.064502,  7.29,    7.182651,  7.28,    7.182697,  7.46
   7.189433,  7.30,    7.071447,  7.30,    7.189595,  7.28,    7.189641,  7.45
   7.196377,  7.30,    7.078391,  7.31,    7.196539,  7.28,    7.196586,  7.45
   7.203322,  7.30,    7.085336,  7.30,    7.203484,  7.28,    7.203530,  7.45
   7.210266,  7.30,    7.092280,  7.29,    7.210428,  7.28,    7.210474,  7.45
   7.217211,  7.30,    7.099225,  7.29,    7.217373,  7.28,    7.217419,  7.45
   7.224155,  7.30,    7.106169,  7.27,    7.224317,  7.28,    7.224363,  7.44
   7.231100,  7.30,    7.113113,  7.31,    7.231262,  7.28,    7.231308,  7.45
   7.238044,  7.30,    7.120058,  7.30,    7.238206,  7.28,    7.238252,  7.45
   7.244988,  7.30,    7.127002,  7.30,    7.245151,  7.28,    7.245197,  7.44
   7.251933,  7.30,    7.133947,  7.30,    7.252095,  7.28,    7.252141,  7.44
   7.258877,  7.30,    7.140891,  7.28,    7.259039,  7.28,    7.259086,  7.44
   7.265822,  7.30,    7.147836,  7.28,    7.265984,  7.28,    7.266030,  7.45
   7.272766,  7.30,    7.154780,  7.30,    7.272928,  7.28,    7.272974,  7.44
   7.279711,  7.30,    7.161725,  7.30,    7.279873,  7.28,    7.279919,  7.45
   7.286655,  7.30,    7.168669,  7.28,    7.286817,  7.28,    7.286863,  7.45
   7.293600,  7.30,    7.175613,  7.29,    7.293762,  7.28,    7.293808,  7.44
   7.300544,  7.30,    7.182558,  7.30,    7.300706,  7.28,    7.300752,  7.44
   7.307488,  7.30,    7.189502,  7.30,    7.307651,  7.28,    7.307697,  7.45
   7.314433,  7.31,    7.196447,  7.30,    7.314595,  7.28,    7.314641,  7.44
   7.321377,  7.30,    7.203391,  7.30,    7.321539,  7.28,    7.321586,  7.45
   7.328322,  7.31,    7.210336,  7.30,    7.328484,  7.28,    7.328530,  7.45
   7.335266,  7.31,    7.217280,  7.29,    7.335428,  7.28,    7.335474,  7.44
   7.342211,  7.31,    7.224225,  7.30,    7.342373,  7.28,    7.342419,  7.45
   7.349155,  7.31,    7.231169,  7.30,    7.349317,  7.28,    7.349363,  7.45
   7.356100,  7.31,    7.238113,  7.30,    7.356262,  7.28,    7.356308,  7.45
   7.363044,  7.31,    7.245058,  7.30,    7.363206,  7.28,    7.363252,  7.44
   7.369988,  7.31,    7.252002,  7.30,    7.370151,  7.28,    7.370197,  7.45
   7.376933,  7.31,    7.258947,  7.30,    7.377095,  7.28,    7.377141,  7.45
   7.383877,  7.31,    7.265891,  7.30,    7.384039,  7.28,    7.384086,  7.44
   7.390822,  7.31,    7.272836,  7.30,    7.390984,  7.28,    7.391030,  7.45
   7.397766,  7.31,    7.279780,  7.31,    7.397928,  7.28,    7.397974,  7.45
   7.404711,  7.31,    7.286725,  7.31,    7.404873,  7.28,    7.404919,  7.45
   7.411655,  7.31,    7.293669,  7.30,    7.411817,  7.28,    7.411863,  7.45
   7.418600,  7.31,    7.300613,  7.30,    7.418762,  7.28,    7.418808,  7.45
   7.425544,  7.31,    7.307558,  7.30,    7.425706,  7.28,    7.425752,  7.45
   7.432488,  7.31,    7.314502,  7.31,    7.432651,  7.28,    7.432697,  7.45
   7.439433,  7.31,    7.321447,  7.31,    7.439595,  7.29,    7.439641,  7.45
   7.446377,  7.31,    7.328391,  7.29,    7.446539,  7.29,    7.446586,  7.45
   7.453322,  7.31,    7.335336,  7.31,    7.453484,  7.28,    7.453530,  7.45
   7.460266,  7.31,    7.342280,  7.32,    7.460428,  7.28,    7.460474,  7.44
   7.467211,  7.31,    7.349225,  7.31,    7.467373,  7.29,    7.467419,  7.44
   7.474155,  7.31,    7.356169,  7.31,    7.474317,  7.29,    7.474363,  7.45
   7.481100,  7.31,    7.363113,  7.31,    7.481262,  7.29,    7.481308,  7.45
   7.488044,  7.31,    7.370058,  7.32,    7.488206,  7.29,    7.488252,  7.45
   7.494988,  7.31,    7.377002,  7.31,    7.495151,  7.29,    7.495197,  7.44
   7.501933,  7.31,    7.383947,  7.30,    7.502095,  7.29,    7.502141,  7.45
   7.508877,  7.31,    7.390891,  7.31,    7.509039,  7.29,    7.509086,  7.45
   7.515822,  7.31,    7.397836,  7.32,    7.515984,  7.29,    7.516030,  7.44
   7.522766,  7.31,    7.404780,  7.31,    7.522928,  7.29,    7.522974,  7.45
   7.529711,  7.31,    7.411725,  7.30,    7.529873,  7.29,    7.529919,  7.44
   7.536655,  7.31,    7.418669,  7.30,    7.536817,  7.29,    7.536863,  7.44
   7.543600,  7.31,    7.425613,  7.32,    7.543762,  7.29,    7.543808,  7.44
   7.550544,  7.31,    7.432558,  7.33,    7.550706,  7.29,    7.550752,  7.44
   7.557488,  7.31,    7.439502,  7.33,    7.557651,  7.29,    7.557697,  7.43
   7.564433,  7.31,    7.446447,  7.33,    7.564595,  7.29,    7.564641,  7.43
   7.571377,  7.31,    7.453391,  7.33,    7.571539,  7.29,    7.571586,  7.43
   7.578322,  7.31,    7.460336,  7.34,    7.578484,  7.29,    7.578530,  7.43
   7.585266,  7.31,    7.467280,  7.31,    7.585428,  7.29,    7.585474,  7.43
   7.592211,  7.31,    7.474225,  7.31,    7.592373,  7.29,    7.592419,  7.43
   7.599155,  7.31,    7.481169,  7.31,    7.599317,  7.29,    7.599363,  7.43
   7.606100,  7.31,    7.488113,  7.31,    7.606262,  7.29,    7.606308,  7.43
   7.613044,  7.31,    7.495058,  7.30,    7.613206,  7.29,    7.613252,  7.43
   7.619988,  7.31,    7.502002,  7.31,    7.620151,  7.29,    7.620197,  7.43
   7.626933,  7.31,    7.508947,  7.31,    7.627095,  7.29,    7.627141,  7.43
   7.633877,  7.32,    7.515891,  7.30,    7.634039,  7.29,    7.634086,  7.42
   7.640822,  7.31,    7.522836,  7.30,    7.640984,  7.29,    7.641030,  7.42
   7.647766,  7.31,    7.529780,  7.30,    7.647928,  7.29,    7.647974,  7.43
   7.654711,  7.31,    7.536725,  7.30,    7.654873,  7.29,    7.654919,  7.42
   7.661655,  7.32,    7.543669,  7.30,    7.661817,  7.29,    7.661863,  7.42
   7.668600,  7.31,    7.550613,  7.29,    7.668762,  7.29,    7.668808,  7.42
   7.675544,  7.32,    7.557558,  7.29,    7.675706,  7.29,    7.675752,  7.42
