Time (d), O2 MC1 (%), CO2 MC1 (%), pH MC1, DO MC1 (uM), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM)
   10.999160,  21.0000    , 0.900000E-01,  7.19000    ,             ,  11.0007    ,  20.9900    , 0.810000E-01,  7.36000    ,  230.330
   11.040860,  20.9800    , 0.900000E-01,  7.19000    ,             ,  11.0424    ,  20.9900    , 0.900000E-01,  7.35000    ,  229.750
   11.082550,  20.9700    , 0.900000E-01,  7.18000    ,             ,  11.0840    ,  20.9700    , 0.900000E-01,  7.36000    ,  229.750
   11.124250,  21.0000    , 0.800000E-01,  7.18000    ,             ,  11.1257    ,  21.0000    , 0.830000E-01,  7.35000    ,  229.800
   11.165930,  20.9700    , 0.860000E-01,  7.18000    ,             ,  11.1674    ,  20.9800    , 0.900000E-01,  7.36000    ,  231.450
   11.207600,  20.9900    , 0.900000E-01,  7.18000    ,             ,  11.2091    ,  21.0000    , 0.900000E-01,  7.36000    ,  231.270
   11.249290,  20.9800    , 0.810000E-01,  7.18000    ,             ,  11.2508    ,  20.9900    , 0.810000E-01,  7.36000    ,  229.800
   11.290970,  20.9800    , 0.900000E-01,  7.18000    ,             ,  11.2925    ,  20.9800    , 0.830000E-01,  7.36000    ,  231.330
   11.332650,  20.9900    , 0.100000    ,  7.18000    ,             ,  11.3341    ,  20.9900    , 0.920000E-01,  7.36000    ,  229.800
   11.374320,  20.9700    , 0.900000E-01,  7.17000    ,             ,  11.3758    ,  20.9800    , 0.870000E-01,  7.36000    ,  230.390
   11.416000,  21.0000    , 0.870000E-01,  7.17000    ,             ,  11.4175    ,  20.9900    , 0.850000E-01,  7.35000    ,  230.210
   11.457670,  20.9800    , 0.900000E-01,  7.17000    ,             ,  11.4592    ,  20.9900    , 0.850000E-01,  7.36000    ,  230.860
   11.499350,  20.9800    , 0.910000E-01,  7.17000    ,             ,  11.5008    ,  20.9900    , 0.900000E-01,  7.35000    ,  231.390
   11.541040,  20.9800    , 0.920000E-01,  7.16000    ,             ,  11.5425    ,  20.9700    , 0.920000E-01,  7.35000    ,  231.390
   11.582720,  20.9700    , 0.900000E-01,  7.17000    ,             ,  11.5842    ,  20.9600    , 0.970000E-01,  7.34000    ,  231.620
   11.624400,  20.9800    , 0.900000E-01,  7.17000    ,             ,  11.6259    ,  20.9700    , 0.900000E-01,  7.34000    ,  232.320
   11.666080,  21.0000    , 0.900000E-01,  7.16000    ,             ,  11.6676    ,  21.0100    , 0.900000E-01,  7.34000    ,  233.320
   11.707750,  20.9900    , 0.900000E-01,  7.16000    ,             ,  11.7092    ,  20.9900    , 0.810000E-01,  7.34000    ,  233.320
   11.749420,  20.9800    , 0.900000E-01,  7.16000    ,             ,  11.7509    ,  20.9800    , 0.900000E-01,  7.34000    ,  235.020
   11.791110,  20.9600    , 0.900000E-01,  7.15000    ,             ,  11.7926    ,  20.9600    , 0.900000E-01,  7.33000    ,  236.720
   11.832800,  20.9700    , 0.800000E-01,  7.15000    ,             ,  11.8343    ,  20.9700    , 0.800000E-01,  7.33000    ,  236.780
   11.874490,  20.9800    , 0.810000E-01,  7.15000    ,             ,  11.8760    ,  20.9900    , 0.800000E-01,  7.33000    ,  236.780
   11.916180,  20.9800    , 0.920000E-01,  7.15000    ,             ,  11.9177    ,  20.9800    , 0.910000E-01,  7.32000    ,  237.420
   11.957850,  20.9900    , 0.890000E-01,  7.15000    ,             ,  11.9593    ,  20.9800    , 0.890000E-01,  7.32000    ,  236.950
   11.999540,  20.9800    , 0.900000E-01,  7.15000    ,             ,  12.0010    ,  20.9800    , 0.880000E-01,  7.32000    ,  237.890
   12.041230,  20.9800    , 0.100000    ,  7.15000    ,             ,  12.0427    ,  20.9700    , 0.900000E-01,  7.32000    ,  236.780
   12.082920,  20.9900    , 0.900000E-01,  7.15000    ,             ,  12.0844    ,  20.9900    , 0.810000E-01,  7.32000    ,  236.950
   12.124620,  20.9900    , 0.900000E-01,  7.14000    ,             ,  12.1261    ,  21.0000    , 0.890000E-01,  7.31000    ,  238.480
   12.166300,  20.9900    , 0.900000E-01,  7.14000    ,             ,  12.1678    ,  20.9900    , 0.820000E-01,  7.31000    ,  238.480
   12.208000,  20.9800    , 0.890000E-01,  7.15000    ,             ,  12.2095    ,  20.9900    , 0.890000E-01,  7.31000    ,  238.480
   12.249690,  20.9800    , 0.800000E-01,  7.14000    ,             ,  12.2512    ,  20.9800    , 0.810000E-01,  7.31000    ,  239.120
   12.291380,  20.9800    , 0.810000E-01,  7.14000    ,             ,  12.2929    ,  20.9800    , 0.780000E-01,  7.31000    ,  240.230
   12.333070,  20.9900    , 0.900000E-01,  7.13000    ,             ,  12.3346    ,  20.9900    , 0.820000E-01,  7.31000    ,  238.540
   12.374770,  20.9900    , 0.900000E-01,  7.13000    ,             ,  12.3763    ,  20.9900    , 0.800000E-01,  7.31000    ,  240.180
   12.416470,  20.9700    , 0.870000E-01,  7.14000    ,             ,  12.4180    ,  20.9800    , 0.890000E-01,  7.31000    ,  238.650
   12.458170,  20.9900    , 0.900000E-01,  7.13000    ,             ,  12.4597    ,  21.0000    , 0.800000E-01,  7.31000    ,  240.180
   12.499860,  20.9800    , 0.880000E-01,  7.13000    ,             ,  12.5014    ,  20.9700    , 0.820000E-01,  7.30000    ,  238.950
   12.541560,  21.0000    , 0.900000E-01,  7.13000    ,             ,  12.5431    ,  21.0000    , 0.800000E-01,  7.30000    ,  238.480
   12.583260,  21.0100    , 0.900000E-01,  7.13000    ,             ,  12.5848    ,  21.0000    , 0.960000E-01,  7.31000    ,  238.420
   12.624970,  20.9900    , 0.930000E-01,  7.12000    ,             ,  12.6265    ,  20.9900    , 0.990000E-01,  7.30000    ,  236.780
   12.666670,  21.0000    , 0.910000E-01,  7.13000    ,             ,  12.6682    ,  21.0100    , 0.900000E-01,  7.30000    ,  237.890
   12.708360,  20.9800    , 0.900000E-01,  7.12000    ,             ,  12.7099    ,  20.9900    , 0.840000E-01,  7.30000    ,  238.360
   12.750060,  21.0000    , 0.910000E-01,  7.12000    ,             ,  12.7515    ,  21.0100    , 0.860000E-01,  7.30000    ,  236.780
   12.791760,  20.9900    , 0.900000E-01,  7.12000    ,             ,  12.7933    ,  21.0000    , 0.810000E-01,  7.31000    ,  238.540
   12.833450,  20.9700    , 0.900000E-01,  7.12000    ,             ,  12.8349    ,  20.9700    , 0.890000E-01,  7.31000    ,  238.480
   12.875150,  20.9800    , 0.900000E-01,  7.11000    ,             ,  12.8766    ,  21.0000    , 0.900000E-01,  7.31000    ,  238.540
   12.916840,  20.9800    , 0.980000E-01,  7.12000    ,             ,  12.9183    ,  21.0000    , 0.880000E-01,  7.31000    ,  238.480
   12.958540,  20.9900    , 0.900000E-01,  7.10000    ,             ,  12.9600    ,  20.9900    , 0.850000E-01,  7.30000    ,  238.540
   13.000240,  20.9800    , 0.890000E-01,  7.11000    ,             ,  13.0017    ,  20.9900    , 0.890000E-01,  7.30000    ,  238.710
   13.041940,  20.9800    , 0.920000E-01,  7.10000    ,             ,  13.0434    ,  20.9600    , 0.870000E-01,  7.30000    ,  238.480
   13.083650,  20.9800    , 0.900000E-01,  7.10000    ,             ,  13.0851    ,  20.9800    , 0.850000E-01,  7.29000    ,  239.820
   13.125350,  20.9700    , 0.950000E-01,  7.10000    ,             ,  13.1268    ,  20.9800    , 0.890000E-01,  7.30000    ,  238.420
   13.167050,  20.9800    , 0.900000E-01,  7.10000    ,             ,  13.1685    ,  20.9800    , 0.870000E-01,  7.30000    ,  238.480
   13.208750,  20.9800    , 0.960000E-01,  7.09000    ,             ,  13.2102    ,  20.9900    , 0.870000E-01,  7.29000    ,  238.480
   13.250450,  20.9800    , 0.910000E-01,  7.09000    ,             ,  13.2519    ,  20.9900    , 0.810000E-01,  7.30000    ,  238.590
   13.292150,  20.9800    , 0.900000E-01,  7.09000    ,             ,  13.2936    ,  20.9900    , 0.800000E-01,  7.30000    ,  238.480
   13.333830,  20.9600    , 0.910000E-01,  7.09000    ,             ,  13.3353    ,  20.9700    , 0.900000E-01,  7.30000    ,  238.480
   13.375600,  20.9800    , 0.920000E-01,  7.08000    ,             ,  13.3771    ,  20.9900    , 0.900000E-01,  7.30000    ,  238.480
   13.417370,  20.9700    , 0.900000E-01,  7.08000    ,             ,  13.4188    ,  20.9800    , 0.830000E-01,  7.30000    ,  238.480
   13.459140,  20.9800    , 0.930000E-01,  7.08000    ,             ,  13.4606    ,  21.0000    , 0.840000E-01,  7.30000    ,  238.300
   13.500840,  20.9800    , 0.910000E-01,  7.09000    ,             ,  13.5023    ,  20.9800    , 0.900000E-01,  7.30000    ,  238.010
   13.542520,  20.9800    , 0.990000E-01,  7.09000    ,             ,  13.5440    ,  20.9900    , 0.910000E-01,  7.30000    ,  238.130
   13.584210,  20.9800    , 0.100000    ,  7.09000    ,             ,  13.5857    ,  20.9800    , 0.830000E-01,  7.31000    ,  237.540
   13.625890,  20.9700    , 0.990000E-01,  7.10000    ,             ,  13.6274    ,  20.9900    , 0.900000E-01,  7.30000    ,  237.540
   13.667600,  20.9800    , 0.100000    ,  7.09000    ,             ,  13.6691    ,  20.9900    , 0.900000E-01,  7.31000    ,  236.780
   13.709280,  20.9600    , 0.900000E-01,  7.09000    ,             ,  13.7108    ,  20.9800    , 0.800000E-01,  7.31000    ,  237.950
   13.750980,  20.9800    , 0.100000    ,  7.10000    ,             ,  13.7525    ,  20.9900    , 0.900000E-01,  7.31000    ,  236.720
   13.792690,  20.9900    , 0.910000E-01,  7.10000    ,             ,  13.7942    ,  20.9800    , 0.900000E-01,  7.31000    ,  236.780
   13.834380,  21.0000    , 0.100000    ,  7.10000    ,             ,  13.8359    ,  21.0100    , 0.860000E-01,  7.31000    ,  236.780
   13.876130,  20.9800    , 0.890000E-01,  7.10000    ,             ,  13.8776    ,  20.9900    , 0.790000E-01,  7.31000    ,  236.780
   13.917910,  20.9700    , 0.900000E-01,  7.10000    ,             ,  13.9194    ,  20.9900    , 0.800000E-01,  7.31000    ,  237.890
   13.959580,  20.9900    , 0.810000E-01,  7.10000    ,             ,  13.9611    ,  20.9900    , 0.800000E-01,  7.31000    ,  237.010
   14.001350,  20.9700    , 0.900000E-01,  7.10000    ,             ,  14.0028    ,  20.9900    , 0.800000E-01,  7.31000    ,  236.720
   14.043120,  20.9600    , 0.900000E-01,  7.10000    ,             ,  14.0446    ,  20.9700    , 0.800000E-01,  7.31000    ,  236.720
   14.084920,  20.9900    , 0.900000E-01,  7.10000    ,             ,  14.0864    ,  21.0000    , 0.800000E-01,  7.31000    ,  236.720
   14.126620,  21.0000    , 0.940000E-01,  7.10000    ,             ,  14.1281    ,  21.0100    , 0.840000E-01,  7.31000    ,  236.600
   14.168320,  20.9800    , 0.100000    ,  7.10000    ,             ,  14.1698    ,  20.9900    , 0.900000E-01,  7.31000    ,  236.600
   14.210020,  20.9800    , 0.990000E-01,  7.10000    ,             ,  14.2115    ,  21.0000    , 0.890000E-01,  7.31000    ,  234.960
   14.251710,  20.9800    , 0.100000    ,  7.10000    ,             ,  14.2532    ,  20.9900    , 0.900000E-01,  7.31000    ,  234.900
   14.293410,  20.9800    , 0.920000E-01,  7.10000    ,             ,  14.2949    ,  20.9900    , 0.900000E-01,  7.31000    ,  234.960
   14.335120,  20.9800    , 0.890000E-01,  7.10000    ,             ,  14.3366    ,  20.9900    , 0.860000E-01,  7.31000    ,  235.020
   14.376820,  20.9800    , 0.900000E-01,  7.10000    ,             ,  14.3783    ,  20.9800    , 0.900000E-01,  7.31000    ,  233.260
   14.418520,  20.9700    , 0.900000E-01,  7.10000    ,             ,  14.4200    ,  20.9800    , 0.800000E-01,  7.31000    ,  233.960
   14.460220,  20.9700    , 0.970000E-01,  7.10000    ,             ,  14.4617    ,  20.9800    , 0.850000E-01,  7.31000    ,  233.260
   14.501910,  20.9800    , 0.920000E-01,  7.10000    ,             ,  14.5034    ,  20.9900    , 0.800000E-01,  7.31000    ,  231.800
   14.543610,  20.9900    , 0.940000E-01,  7.10000    ,             ,  14.5451    ,  21.0000    , 0.850000E-01,  7.32000    ,  231.500
   14.585310,  20.9900    , 0.900000E-01,  7.10000    ,             ,  14.5868    ,  21.0000    , 0.820000E-01,  7.32000    ,  229.860
   14.627010,  20.9700    , 0.900000E-01,  7.10000    ,             ,  14.6285    ,  20.9900    , 0.800000E-01,  7.32000    ,  230.620
   14.668720,  20.9800    , 0.900000E-01,  7.11000    ,             ,  14.6702    ,  21.0000    , 0.900000E-01,  7.32000    ,  229.800
   14.710420,  20.9900    , 0.910000E-01,  7.10000    ,             ,  14.7119    ,  21.0000    , 0.900000E-01,  7.32000    ,  231.560
   14.752120,  20.9800    , 0.920000E-01,  7.10000    ,             ,  14.7536    ,  20.9900    , 0.900000E-01,  7.32000    ,  231.390
   14.793820,  20.9900    , 0.900000E-01,  7.11000    ,             ,  14.7953    ,  21.0000    , 0.900000E-01,  7.32000    ,  231.560
   14.835520,  20.9900    , 0.920000E-01,  7.10000    ,             ,  14.8370    ,  21.0000    , 0.900000E-01,  7.32000    ,  232.320
   14.877220,  20.9800    , 0.900000E-01,  7.10000    ,             ,  14.8787    ,  20.9900    , 0.850000E-01,  7.32000    ,  231.560
   14.918920,  20.9900    , 0.900000E-01,  7.10000    ,             ,  14.9204    ,  21.0000    , 0.800000E-01,  7.31000    ,  232.620
   14.960600,  20.9900    , 0.930000E-01,  7.10000    ,             ,  14.9621    ,  21.0000    , 0.830000E-01,  7.31000    ,  233.320
   15.002370,  20.9900    , 0.910000E-01,  7.10000    ,             ,  15.0038    ,  20.9900    , 0.900000E-01,  7.31000    ,  231.910
   15.044140,  20.9800    , 0.103000    ,  7.10000    ,             ,  15.0456    ,  20.9900    , 0.950000E-01,  7.31000    ,  233.550
   15.085910,  20.9800    , 0.970000E-01,  7.10000    ,             ,  15.0874    ,  21.0000    , 0.920000E-01,  7.31000    ,  233.380
   15.127690,  20.9700    , 0.910000E-01,  7.09000    ,             ,  15.1292    ,  20.9700    , 0.910000E-01,  7.31000    ,  233.380
   15.169470,  20.9900    , 0.100000    ,  7.09000    ,             ,  15.1709    ,  20.9900    , 0.840000E-01,  7.31000    ,  233.670
   15.211240,  20.9700    , 0.930000E-01,  7.09000    ,             ,  15.2127    ,  20.9800    , 0.840000E-01,  7.31000    ,  233.380
   15.253030,  20.9900    , 0.960000E-01,  7.10000    ,             ,  15.2545    ,  21.0000    , 0.860000E-01,  7.31000    ,  235.080
   15.294720,  20.9900    , 0.900000E-01,  7.10000    ,             ,  15.2962    ,  20.9900    , 0.860000E-01,  7.30000    ,  235.140
   15.336420,  20.9700    , 0.910000E-01,  7.10000    ,             ,  15.3379    ,  20.9900    , 0.900000E-01,  7.30000    ,  235.140
   15.378120,  20.9800    , 0.880000E-01,  7.09000    ,             ,  15.3796    ,  20.9900    , 0.870000E-01,  7.31000    ,  235.250
   15.419830,  21.0000    , 0.900000E-01,  7.10000    ,             ,  15.4213    ,  21.0200    , 0.850000E-01,  7.30000    ,  235.140
   15.461530,  20.9900    , 0.900000E-01,  7.09000    ,             ,  15.4630    ,  21.0100    , 0.800000E-01,  7.30000    ,  235.430
   15.503230,  20.9800    , 0.900000E-01,  7.09000    ,             ,  15.5047    ,  20.9900    , 0.800000E-01,  7.30000    ,  235.080
   15.544910,  20.9800    , 0.900000E-01,  7.05000    ,             ,  15.5464    ,  20.9800    , 0.810000E-01,  7.26000    ,  235.200
   15.586670,  20.9900    , 0.900000E-01,  7.03000    ,             ,  15.5882    ,  21.0100    , 0.810000E-01,  7.22000    ,  235.140
   15.628340,  20.9600    , 0.920000E-01,  7.00000    ,             ,  15.6298    ,  20.9700    , 0.900000E-01,  7.19000    ,  233.440
   15.670020,  20.9700    , 0.100000    ,  6.97000    ,             ,  15.6715    ,  20.9900    , 0.900000E-01,  7.17000    ,  233.440
   15.711760,  20.9800    , 0.100000    ,  6.95000    ,             ,  15.7132    ,  20.9900    , 0.900000E-01,  7.14000    ,  233.260
   15.753500,  20.9600    , 0.101000    ,  6.92000    ,             ,  15.7550    ,  20.9600    , 0.100000    ,  7.12000    ,  231.680
   15.795230,  20.9600    , 0.111000    ,  6.89000    ,             ,  15.7967    ,  20.9600    , 0.102000    ,  7.10000    ,  232.210
   15.836940,  20.9500    , 0.110000    ,  6.87000    ,             ,  15.8384    ,  20.9600    , 0.940000E-01,  7.08000    ,  231.680
   15.878680,  20.9600    , 0.112000    ,  6.85000    ,             ,  15.8802    ,  20.9900    , 0.110000    ,  7.06000    ,  231.620
   15.920420,  20.9400    , 0.120000    ,  6.83000    ,             ,  15.9219    ,  20.9600    , 0.114000    ,  7.04000    ,  231.330
   15.962160,  20.9500    , 0.121000    ,  6.82000    ,             ,  15.9636    ,  20.9700    , 0.110000    ,  7.02000    ,  230.800
   16.003910,  20.9400    , 0.120000    ,  6.80000    ,             ,  16.0054    ,  20.9700    , 0.110000    ,  7.00000    ,  229.860
   16.045660,  20.9300    , 0.128000    ,  6.78000    ,             ,  16.0471    ,  20.9400    , 0.113000    ,  6.99000    ,  229.920
   16.087400,  20.9600    , 0.122000    ,  6.77000    ,             ,  16.0889    ,  20.9700    , 0.115000    ,  6.97000    ,  229.860
   16.129050,  20.9400    , 0.124000    ,  6.75000    ,  171.560    ,  16.1305    ,  20.9500    , 0.113000    ,  6.95000    ,  229.860
   16.170860,  20.9200    , 0.128000    ,  6.74000    ,             ,  16.1723    ,  20.9300    , 0.118000    ,  6.94000    ,  229.920
   16.212600,  20.9300    , 0.130000    ,  6.74000    ,             ,  16.2141    ,  20.9400    , 0.120000    ,  6.92000    ,  228.160
   16.254340,  20.9400    , 0.130000    ,  6.73000    ,             ,  16.2558    ,  20.9500    , 0.120000    ,  6.91000    ,  229.220
   16.296080,  20.9200    , 0.130000    ,  6.72000    ,             ,  16.2976    ,  20.9400    , 0.120000    ,  6.90000    ,  228.280
   16.337820,  20.9200    , 0.130000    ,  6.71000    ,             ,  16.3393    ,  20.9400    , 0.120000    ,  6.89000    ,  228.160
   16.379560,  20.9400    , 0.130000    ,  6.70000    ,             ,  16.3810    ,  20.9400    , 0.121000    ,  6.87000    ,  228.980
   16.421280,  20.9200    , 0.130000    ,  6.69000    ,             ,  16.4228    ,  20.9400    , 0.120000    ,  6.87000    ,  228.160
   16.463010,  20.9200    , 0.130000    ,  6.69000    ,             ,  16.4645    ,  20.9200    , 0.124000    ,  6.85000    ,  226.520
   16.504720,  20.9300    , 0.120000    ,  6.68000    ,             ,  16.5062    ,  20.9500    , 0.120000    ,  6.84000    ,  226.520
   16.546460,  20.9300    , 0.124000    ,  6.68000    ,             ,  16.5479    ,  20.9400    , 0.124000    ,  6.83000    ,  226.410
   16.588220,  20.9300    , 0.134000    ,  6.67000    ,             ,  16.5897    ,  20.9400    , 0.134000    ,  6.83000    ,  226.290
   16.629920,  20.9200    , 0.131000    ,  6.66000    ,  170.390    ,  16.6314    ,  20.9300    , 0.131000    ,  6.84000    ,  225.590
   16.671610,  20.9200    , 0.140000    ,  6.67000    ,  170.040    ,  16.6731    ,  20.9200    , 0.130000    ,  6.84000    ,  222.950
   16.713300,  20.9300    , 0.130000    ,  6.67000    ,  170.100    ,  16.7148    ,  20.9400    , 0.130000    ,  6.84000    ,  223.770
   16.754990,  20.9300    , 0.127000    ,  6.67000    ,  169.040    ,  16.7565    ,  20.9300    , 0.128000    ,  6.84000    ,  222.950
   16.796670,  20.9300    , 0.126000    ,  6.67000    ,  169.280    ,  16.7981    ,  20.9200    , 0.126000    ,  6.85000    ,  222.950
   16.838370,  20.9200    , 0.130000    ,  6.67000    ,  169.040    ,  16.8398    ,  20.9200    , 0.131000    ,  6.85000    ,  221.190
   16.880060,  20.9300    , 0.130000    ,  6.67000    ,  168.870    ,  16.8815    ,  20.9300    , 0.130000    ,  6.85000    ,  221.190
   16.921750,  20.9300    , 0.130000    ,  6.68000    ,  169.100    ,  16.9232    ,  20.9200    , 0.121000    ,  6.85000    ,  220.840
   16.963440,  20.9100    , 0.132000    ,  6.68000    ,  168.630    ,  16.9649    ,  20.9100    , 0.130000    ,  6.86000    ,  219.260
   17.005130,  20.9200    , 0.129000    ,  6.67000    ,  168.570    ,  17.0066    ,  20.9100    , 0.139000    ,  6.86000    ,  217.730
   17.046810,  20.9200    , 0.120000    ,  6.68000    ,  167.520    ,  17.0483    ,  20.9200    , 0.130000    ,  6.86000    ,  216.330
   17.088510,  20.9100    , 0.126000    ,  6.68000    ,  166.640    ,  17.0900    ,  20.9100    , 0.127000    ,  6.87000    ,  215.570
   17.130220,  20.9200    , 0.120000    ,  6.68000    ,  166.170    ,  17.1317    ,  20.9100    , 0.132000    ,  6.87000    ,  214.280
   17.171910,  20.9200    , 0.123000    ,  6.68000    ,  166.110    ,  17.1734    ,  20.9000    , 0.133000    ,  6.88000    ,  212.580
   17.213610,  20.9300    , 0.121000    ,  6.68000    ,  165.000    ,  17.2151    ,  20.9200    , 0.132000    ,  6.88000    ,  210.820
   17.255300,  20.9200    , 0.130000    ,  6.68000    ,  165.180    ,  17.2568    ,  20.8900    , 0.134000    ,  6.88000    ,  209.470
   17.296980,  20.9000    , 0.120000    ,  6.68000    ,  163.890    ,  17.2984    ,  20.8800    , 0.130000    ,  6.89000    ,  209.060
   17.338670,  20.9200    , 0.130000    ,  6.67000    ,  163.360    ,  17.3401    ,  20.8800    , 0.140000    ,  6.89000    ,  207.480
   17.380350,  20.9200    , 0.121000    ,  6.67000    ,  163.480    ,  17.3818    ,  20.8900    , 0.140000    ,  6.89000    ,  205.660
   17.422030,  20.9200    , 0.129000    ,  6.67000    ,  164.060    ,  17.4235    ,  20.8800    , 0.140000    ,  6.90000    ,  207.360
   17.463700,  20.9100    , 0.121000    ,  6.67000    ,  163.890    ,  17.4652    ,  20.8700    , 0.140000    ,  6.90000    ,  209.000
   17.505410,  20.9100    , 0.132000    ,  6.68000    ,  164.180    ,  17.5069    ,  20.8700    , 0.141000    ,  6.90000    ,  207.710
   17.547110,  20.9400    , 0.132000    ,  6.68000    ,  164.820    ,  17.5486    ,  20.9200    , 0.150000    ,  6.91000    ,  207.420
   17.588810,  20.9200    , 0.130000    ,  6.68000    ,  164.880    ,  17.5903    ,  20.8700    , 0.141000    ,  6.91000    ,  208.120
   17.630500,  20.9300    , 0.130000    ,  6.68000    ,  165.290    ,  17.6320    ,  20.8800    , 0.140000    ,  6.91000    ,  209.120
   17.672280,  20.9200    , 0.121000    ,  6.69000    ,  167.290    ,  17.6738    ,  20.8700    , 0.137000    ,  6.92000    ,  210.820
   17.713980,  20.9300    , 0.120000    ,  6.68000    ,  167.230    ,  17.7155    ,  20.8900    , 0.140000    ,  6.91000    ,  211.290
   17.755670,  20.9300    , 0.120000    ,  6.68000    ,  167.700    ,  17.7571    ,  20.8900    , 0.135000    ,  6.92000    ,  210.880
   17.797360,  20.9300    , 0.129000    ,  6.68000    ,  166.880    ,  17.7988    ,  20.8800    , 0.139000    ,  6.93000    ,  210.880
   17.839050,  20.9200    , 0.120000    ,  6.70000    ,  166.820    ,  17.8405    ,  20.8800    , 0.140000    ,  6.95000    ,  210.880
   17.880750,  20.9200    , 0.121000    ,  6.70000    ,  166.760    ,  17.8822    ,  20.8600    , 0.140000    ,  6.96000    ,  210.820
   17.922440,  20.9200    , 0.121000    ,  6.70000    ,  167.230    ,  17.9239    ,  20.8700    , 0.140000    ,  6.97000    ,  209.180
   17.964130,  20.9200    , 0.128000    ,  6.70000    ,  166.990    ,  17.9656    ,  20.8600    , 0.139000    ,  6.98000    ,  209.180
   18.005810,  20.9200    , 0.120000    ,  6.71000    ,  167.400    ,  18.0073    ,  20.8600    , 0.131000    ,  7.00000    ,  209.940
   18.047490,  20.9300    , 0.125000    ,  6.72000    ,  167.290    ,  18.0490    ,  20.8700    , 0.139000    ,  7.00000    ,  210.880
   18.089170,  20.9100    , 0.120000    ,  6.71000    ,  167.460    ,  18.0907    ,  20.8700    , 0.140000    ,  7.01000    ,  210.880
   18.130870,  20.9100    , 0.120000    ,  6.72000    ,  167.230    ,  18.1323    ,  20.8600    , 0.133000    ,  7.01000    ,  210.880
   18.172560,  20.9100    , 0.120000    ,  6.72000    ,  168.280    ,  18.1740    ,  20.8800    , 0.136000    ,  7.02000    ,  211.580
   18.214260,  20.9200    , 0.122000    ,  6.72000    ,  167.810    ,  18.2157    ,  20.8700    , 0.134000    ,  7.03000    ,  211.000
   18.255950,  20.9300    , 0.119000    ,  6.73000    ,  168.160    ,  18.2574    ,  20.8600    , 0.130000    ,  7.03000    ,  210.880
   18.297630,  20.9200    , 0.119000    ,  6.72000    ,  168.400    ,  18.2991    ,  20.8700    , 0.133000    ,  7.04000    ,  210.880
   18.339320,  20.9300    , 0.113000    ,  6.73000    ,  168.520    ,  18.3408    ,  20.8800    , 0.130000    ,  7.04000    ,  212.580
   18.380980,  20.9100    , 0.119000    ,  6.74000    ,  168.160    ,  18.3824    ,  20.8600    , 0.131000    ,  7.04000    ,  212.580
   18.422660,  20.9100    , 0.120000    ,  6.73000    ,  168.520    ,  18.4241    ,  20.8600    , 0.130000    ,  7.05000    ,  212.580
   18.464360,  20.9200    , 0.117000    ,  6.73000    ,  168.460    ,  18.4658    ,  20.8700    , 0.136000    ,  7.05000    ,  213.340
   18.506060,  20.9200    , 0.119000    ,  6.73000    ,  167.990    ,  18.5075    ,  20.8600    , 0.139000    ,  7.05000    ,  212.580
   18.547750,  20.9200    , 0.110000    ,  6.74000    ,  168.520    ,  18.5492    ,  20.8700    , 0.130000    ,  7.06000    ,  212.580
   18.589430,  20.9300    , 0.110000    ,  6.74000    ,  168.810    ,  18.5909    ,  20.8800    , 0.121000    ,  7.05000    ,  212.580
   18.631120,  20.9200    , 0.117000    ,  6.74000    ,  168.690    ,  18.6326    ,  20.8700    , 0.127000    ,  7.06000    ,  214.280
   18.672800,  20.9100    , 0.110000    ,  6.74000    ,  169.160    ,  18.6743    ,  20.8500    , 0.122000    ,  7.05000    ,  214.280
   18.714470,  20.9200    , 0.120000    ,  6.73000    ,  168.750    ,  18.7159    ,  20.8800    , 0.130000    ,  7.06000    ,  214.280
   18.756160,  20.9000    , 0.120000    ,  6.74000    ,  168.810    ,  18.7576    ,  20.8600    , 0.134000    ,  7.06000    ,  214.450
   18.797850,  20.9400    , 0.118000    ,  6.74000    ,  169.280    ,  18.7993    ,  20.9000    , 0.128000    ,  7.05000    ,  214.280
   18.839550,  20.9200    , 0.120000    ,  6.74000    ,  169.040    ,  18.8410    ,  20.8800    , 0.134000    ,  7.05000    ,  215.980
   18.881240,  20.9400    , 0.119000    ,  6.74000    ,  169.340    ,  18.8827    ,  20.9000    , 0.131000    ,  7.06000    ,  216.040
   18.922920,  20.9200    , 0.112000    ,  6.74000    ,  169.390    ,  18.9244    ,  20.8900    , 0.122000    ,  7.06000    ,  216.040
   18.964590,  20.9300    , 0.110000    ,  6.74000    ,  169.280    ,  18.9661    ,  20.8800    , 0.120000    ,  7.06000    ,  217.730
   19.006280,  20.9400    , 0.117000    ,  6.74000    ,  168.870    ,  19.0078    ,  20.8900    , 0.127000    ,  7.06000    ,  217.730
   19.047950,  20.9200    , 0.120000    ,  6.75000    ,  169.340    ,  19.0494    ,  20.8800    , 0.130000    ,  7.06000    ,  217.790
   19.089760,  20.9000    , 0.114000    ,  6.74000    ,  169.750    ,  19.0912    ,  20.8500    , 0.122000    ,  7.06000    ,  217.790
   19.131490,  20.9300    , 0.113000    ,  6.75000    ,             ,  19.1330    ,  20.8800    , 0.121000    ,  7.06000    ,  217.790
   19.173230,  20.9200    , 0.116000    ,  6.75000    ,             ,  19.1747    ,  20.8700    , 0.133000    ,  7.06000    ,  218.090
